student_id,course_id,grade
STUDENT86,2,7
STUDENT47,7,7
STUDENT50,4,3
STUDENT116,4,2
STUDENT68,3,4
STUDENT45,8,0
STUDENT112,4,1
STUDENT55,1,7
STUDENT107,7,0
STUDENT39,6,7
STUDENT85,9,7
STUDENT135,3,7
STUDENT16,2,5
STUDENT21,1,4
STUDENT90,2,0
STUDENT103,1,0
STUDENT12,8,1
STUDENT52,8,1
STUDENT139,9,4
STUDENT55,7,4
STUDENT38,4,0
STUDENT81,1,0
STUDENT61,6,6
STUDENT32,6,7
STUDENT127,4,7
STUDENT95,6,0
STUDENT123,3,4
STUDENT70,6,4
STUDENT81,8,7
STUDENT47,3,3
STUDENT15,9,3
STUDENT49,8,2
STUDENT115,8,4
STUDENT27,6,3
STUDENT92,9,1
STUDENT38,1,5
STUDENT64,6,1
STUDENT136,3,5
STUDENT41,7,1
STUDENT90,6,6
STUDENT109,6,3
STUDENT109,2,3
STUDENT121,6,4
STUDENT130,5,5
STUDENT104,4,5
STUDENT55,6,5
STUDENT38,6,5
STUDENT125,9,2
STUDENT138,5,2
STUDENT24,9,0
STUDENT81,8,5
STUDENT47,2,3
STUDENT145,6,6
STUDENT134,9,4
STUDENT140,9,1
STUDENT65,4,3
STUDENT8,8,2
STUDENT118,4,3
STUDENT52,1,0
STUDENT48,4,1
STUDENT3,9,1
STUDENT94,6,6
STUDENT28,6,2
STUDENT99,3,0
STUDENT54,3,6
STUDENT97,2,6
STUDENT26,7,3
STUDENT48,7,1
STUDENT110,3,0
STUDENT118,7,2
STUDENT126,2,5
STUDENT92,8,0
STUDENT27,7,7
STUDENT86,9,3
STUDENT120,8,2
STUDENT51,5,3
STUDENT129,4,3
STUDENT70,8,7
STUDENT87,7,0
STUDENT53,5,0
STUDENT140,7,7
STUDENT98,4,2
STUDENT28,3,2
STUDENT93,5,6
STUDENT74,4,2
STUDENT1,4,5
STUDENT76,8,6
STUDENT90,4,7
STUDENT118,8,3
STUDENT71,2,3
STUDENT35,6,6
STUDENT121,5,2
STUDENT15,5,6
STUDENT80,7,1
STUDENT92,2,3
STUDENT75,7,6
STUDENT17,7,3
STUDENT72,2,0
STUDENT145,8,6
STUDENT93,6,5
STUDENT107,9,3
STUDENT120,4,4
STUDENT9,3,2
STUDENT30,2,6
STUDENT7,9,4
STUDENT29,6,6
STUDENT66,3,2
STUDENT21,8,5
STUDENT114,1,4
STUDENT69,4,0
STUDENT121,8,4
STUDENT4,7,7
STUDENT22,8,0
STUDENT54,4,4
STUDENT33,7,5
STUDENT9,7,3
STUDENT100,8,2
STUDENT21,6,2
STUDENT94,4,6
STUDENT142,6,6
STUDENT13,1,4
STUDENT2,3,2
STUDENT84,4,7
STUDENT44,6,1
STUDENT128,9,1
STUDENT50,4,3
STUDENT44,4,6
STUDENT84,5,0
STUDENT58,7,0
STUDENT30,8,2
STUDENT59,1,4
STUDENT11,4,7
STUDENT125,6,1
STUDENT1,2,3
STUDENT62,4,2
STUDENT27,3,5
STUDENT63,5,1
STUDENT27,9,3
STUDENT48,1,3
STUDENT53,5,5
STUDENT31,1,7
STUDENT133,8,3
STUDENT89,9,4
STUDENT106,1,4
STUDENT118,4,2
STUDENT34,7,0
STUDENT72,4,1
STUDENT86,2,3
STUDENT63,1,7
STUDENT145,4,6
STUDENT41,7,6
