course_id,title,credits,department_id,teacher_id
1,A Journey Through Classics,3,1,23
2,Crafting Compelling Narratives,2,5,3
3,Adapting Literature for Performance,5,3,34
4,Analyzing Themes and Styles,4,10,7
5,Exploring the Art of Verse,3,3,27
6,Building Engaging Characters,3,2,37
7,Understanding Literary Contexts,3,6,3
8,Essential Techniques for Storytelling,4,8,16
9,Discovering Genres and Movements,1,3,5
10,Critical Thinking in Literature,5,2,2
11,Introduction to Economics,1,2,28
12,Principles of Economics,3,10,41
13,Economic Theories,4,1,42
14,Economics Fundamentals,3,5,12
15,Applied Economics,4,1,22
16,Mastering Economics for Real-World Impact,1,7,16
17,Unlocking Economic Insights for Business Success,1,9,46
18,The Essentials of Economic Theory and Application,5,4,1
19,Economic Strategies for Personal Finance Growth,2,8,49
20,A Practical Economics Course,3,4,13
21,Mastering Music Theory,3,1,39
22,Composition Basics,2,5,21
23,The Art of Songwriting,4,3,33
24,Rhythm and Flow,4,4,29
25,Mixing Tracks,3,4,22
26,Essential Music Production Techniques,4,4,29
27,Music Genres and Styles,4,4,41
28,Performance Mastery,2,2,10
29,Building a Music Portfolio,2,5,19
30,Digital Music Marketing,2,10,37
31,Computer Science Fundamentals,1,6,7
32,Application Building,4,4,14
33,Data Structures,5,3,12
34,Algorithms,4,7,46
35,Web Development,3,5,12
36,Introduction to Machine Learning,5,6,37
37,Cybersecurity,3,4,10
38,Programming Languages,3,6,14
39,Software Development,3,9,18
40,Emerging Trends in Computer Science,2,10,21
41,Chemistry Basics,3,8,22
42,Essential Concepts of Chemistry,5,8,19
43,Chemistry Experiments,5,2,11
44,Chemical Reactions,1,8,2
45,Chemistry Crash Course,1,3,22
46,Exploring the Molecule,4,6,25
47,Real-World Applications of Chemistry,3,4,35
48,Advanced Chemistry Techniques,2,7,20
49,Chemistry Simplified,4,1,11
50,Chemistry Problem-solving,1,2,44
51,Introduction to Historical Methods,4,6,1
52,Ancient Civilizations and Legacies,2,8,14
53,Turning Points in Modern History,2,10,28
54,The Architecture of Empires,4,1,45
55,Revolutions That Changed the World,2,1,47
56,War and Peace in the 20th Century,5,2,13
57,Exploring Oral Histories and Archives,2,10,50
58,Cultural Crossroads of the Past,2,6,2
59,Deciphering Historical Myths,5,3,3
60,Global Trade and Migration Patterns,4,6,31
61,Engineering Mechanics and Statics,1,9,46
62,Fundamentals of Materials Science,5,8,45
63,Circuit Analysis and Design,4,4,3
64,Thermodynamics and Energy Systems,4,9,42
65,Introduction to CAD and Modeling,1,5,25
66,Systems Engineering and Optimization,2,1,30
67,Fluid Dynamics and Applications,3,2,35
68,Prototyping and Product Design,2,6,45
69,Structural Integrity and Safety,2,5,29
70,Sustainable Engineering Solutions,5,2,14
71,Newtonian Mechanics Fundamentals,4,7,15
72,"Waves, Optics and Acoustics",4,8,40
73,Thermodynamics and Kinetic Theory,3,6,24
74,Electromagnetism and Circuits,1,9,36
75,Introduction to Quantum Physics,1,10,14
76,Relativity and Spacetime Basics,1,10,27
77,Astrophysics and Cosmic Evolution,2,9,39
78,Nuclear Physics and Particles,2,3,14
79,Experimental Physics Techniques,4,8,41
80,Fluid Mechanics and Aerodynamics,1,1,37
81,Principles of Cellular Biology,5,9,25
82,Genetics and the Code of Life,4,8,39
83,Evolutionary Biology and Adaptation,1,5,27
84,Human Anatomy and Physiology,4,1,2
85,Ecology and Ecosystem Dynamics,4,10,8
86,Microbiology and Infectious Diseases,5,8,31
87,Plant Biology and Sustainability,2,7,9
88,Marine Biology and Ecosystems,1,1,17
89,Biotechnology and Society,3,8,4
90,Essential Laboratory Techniques in Biology,5,6,8
91,Anatomy of Movement and Posture,5,3,24
92,Contemporary Dance Techniques,5,3,16
93,Foundations of Classical Ballet,3,1,44
94,Choreography and Spatial Design,2,2,26
95,Dance History and Cultural Contexts,2,3,3
96,"Rhythm, Percussion and Movement",3,1,9
97,Modern Ballet,3,10,8
98,Dancing and culture,1,9,29
99,Dancing styles,3,2,15
100,Improvisation,3,3,47
