student_id,course_id,grade,enrollment_date
1926,22,Fail,22-08-2026
977,46,Fail,23-08-2026
484,44,CB,04-07-2026
1099,41,CC,20-12-2026
576,98,DC,01-07-2026
182,24,Fail,29-11-2026
1973,37,BA,11-01-2026
1425,80,Fail,29-01-2026
1695,78,DD,17-03-2026
1755,75,BA,27-07-2026
772,100,CB,31-01-2026
1671,35,DD,21-02-2026
698,64,BB,25-10-2026
1992,21,DD,27-05-2026
265,4,BA,28-11-2026
1440,63,Fail,06-12-2026
1573,14,DD,09-07-2026
1056,95,CC,24-04-2026
113,32,DC,01-03-2026
1875,9,BB,21-10-2026
193,40,DD,24-01-2026
469,94,BA,14-02-2026
574,28,DD,31-12-2026
1901,58,DC,02-01-2027
902,25,DC,21-08-2026
1208,19,Fail,18-08-2026
1817,81,DD,12-03-2026
554,99,DD,04-10-2026
150,46,BA,05-10-2026
142,90,CC,10-11-2026
1182,89,BB,13-12-2026
1436,31,CC,23-05-2026
1526,17,CC,09-10-2026
418,38,CC,16-02-2026
1244,8,AA,16-09-2026
579,75,Fail,16-06-2026
224,42,DD,09-08-2026
1897,68,BB,08-05-2026
1596,46,CC,12-06-2026
1087,23,CC,28-01-2026
162,5,BB,04-01-2027
838,55,AA,22-09-2026
978,74,AA,26-11-2026
1825,61,AA,31-10-2026
992,21,Fail,14-12-2026
288,48,CC,16-03-2026
1328,33,CC,09-03-2026
573,64,AA,16-03-2026
1900,46,DD,12-01-2026
336,55,DD,04-11-2026
1829,27,BB,01-12-2026
957,90,BA,29-01-2026
1684,53,BB,26-09-2026
1089,33,Fail,12-08-2026
1865,47,DC,12-06-2026
906,53,DC,18-06-2026
123,14,DC,29-05-2026
388,92,AA,25-10-2026
1261,84,BA,18-10-2026
329,76,BA,16-02-2026
1592,67,CC,17-08-2026
114,62,AA,03-08-2026
1730,96,DD,20-09-2026
1197,54,BA,25-09-2026
1250,17,DC,01-07-2026
508,11,DD,14-04-2026
1050,33,BB,30-05-2026
1631,24,DC,05-03-2026
961,58,Fail,27-04-2026
1076,88,DC,10-04-2026
1251,88,Fail,26-06-2026
1639,13,Fail,04-02-2026
1305,95,DD,05-02-2026
1877,63,AA,11-12-2026
255,90,Fail,03-04-2026
808,25,AA,31-05-2026
850,93,BA,22-02-2026
958,78,BB,26-05-2026
1178,21,DD,12-03-2026
691,17,AA,19-03-2026
933,30,Fail,07-11-2026
1656,1,Fail,06-01-2027
83,28,BB,18-09-2026
1885,44,Fail,09-07-2026
473,15,DD,31-08-2026
673,94,CC,06-06-2026
385,50,DC,05-09-2026
320,11,CC,12-04-2026
865,54,CB,21-07-2026
1632,37,BB,14-06-2026
1938,71,CB,15-11-2026
51,13,CB,10-02-2026
1477,26,CC,24-05-2026
1940,70,CB,21-02-2026
313,2,Fail,05-03-2026
1860,94,BA,09-09-2026
942,16,CC,12-04-2026
1011,89,Fail,01-05-2026
1366,40,Fail,29-09-2026
1670,30,DD,08-03-2026
1883,9,DC,03-02-2026
1038,38,AA,04-09-2026
1840,31,CB,20-03-2026
1402,17,AA,14-03-2026
603,54,BB,24-04-2026
431,18,BB,21-02-2026
1008,48,DD,29-08-2026
614,98,DD,27-08-2026
43,78,AA,01-05-2026
756,95,DC,26-04-2026
632,24,BA,17-03-2026
349,43,BA,01-06-2026
1310,13,DD,10-07-2026
894,100,DC,07-10-2026
1885,53,BB,21-12-2026
1154,32,Fail,24-12-2026
866,78,CB,18-09-2026
777,44,Fail,08-04-2026
1378,94,DD,10-03-2026
78,28,BB,11-06-2026
443,39,DC,11-05-2026
1973,89,AA,25-04-2026
1194,19,CB,23-09-2026
610,42,CC,28-07-2026
99,30,CB,16-04-2026
1036,39,BB,25-07-2026
1081,50,AA,31-03-2026
1872,50,CC,21-10-2026
1825,26,DD,03-08-2026
1139,96,BB,29-07-2026
779,19,CB,27-10-2026
1379,68,CC,04-09-2026
967,4,BA,12-11-2026
588,52,Fail,16-09-2026
1770,15,Fail,07-09-2026
349,99,AA,20-03-2026
830,46,CC,31-05-2026
1167,43,BA,25-04-2026
1287,9,Fail,13-02-2026
1376,11,BB,16-10-2026
1527,80,DD,28-08-2026
201,33,CB,14-08-2026
225,82,CC,28-02-2026
1296,88,CC,21-07-2026
359,63,Fail,04-04-2026
889,46,Fail,28-11-2026
649,7,BA,19-01-2026
1774,8,BA,03-09-2026
1664,28,AA,10-04-2026
1935,93,Fail,07-03-2026
9,36,DD,22-01-2026
388,77,AA,02-05-2026
1401,60,CC,18-12-2026
813,61,DD,02-01-2027
978,63,Fail,09-07-2026
60,9,Fail,14-07-2026
1060,77,Fail,27-02-2026
140,92,CC,02-04-2026
1619,39,DC,18-06-2026
591,51,AA,01-01-2027
1345,73,CC,01-10-2026
627,63,DC,31-05-2026
1517,43,DD,26-09-2026
1696,9,CB,15-08-2026
906,20,DD,02-04-2026
458,53,Fail,14-01-2026
506,10,CB,21-10-2026
204,54,BB,27-07-2026
889,4,Fail,28-05-2026
